Gene	p (Corr)  [UC]vs [Not IBD]	FC ([UC] vs [Not IBD]) 	[UC] vs [Not IBD] 
APOC4-APOC2	3.07E-04	1.9132105	up
DXO	1.45E-37	1.913843	up
LRRC37A3	2.00E-11	1.9149582	up
MAP7D3	1.59E-14	1.9160655	up
TACC3	7.37E-16	1.9171735	up
PACSIN3	7.29E-13	1.9185759	up
RALGDS	4.65E-20	1.9188738	up
CAD	3.70E-21	1.9199249	up
ABCB6	1.53E-18	1.9204063	up
RHOBTB2	6.55E-11	1.9216582	up
PDE6B	4.86E-11	1.9220053	up
SPN	5.81E-09	1.9229902	up
FAM212A	3.39E-08	1.92333	up
C11orf84	5.73E-20	1.9242725	up
NSG1	2.82E-13	1.9245096	up
IL11RA	1.59E-10	1.9250728	up
TSPAN33	5.74E-13	1.9251387	up
DNAJB5	3.33E-12	1.925464	up
CERS4	2.89E-10	1.9280331	up
ANKRD65	7.76E-09	1.9288982	up
RNF217	5.88E-11	1.9291245	up
FAM160B2	3.97E-22	1.9306722	up
LDLRAD4	1.71E-15	1.9312162	up
CBX4	8.22E-20	1.9312474	up
LMNTD2	2.48E-13	1.9315817	up
SLC22A15	3.72E-11	1.9320289	up
RINL	2.56E-13	1.9324994	up
TRPC1	2.25E-10	1.9358364	up
MACF1	2.86E-16	1.9361906	up
HKDC1	1.02E-07	1.9363198	up
PNCK	1.51E-05	1.9367534	up
RBPMS2	1.34E-09	1.9372698	up
FANCG	3.15E-25	1.9375728	up
ST8SIA1	1.16E-13	1.9380348	up
FAM229A	6.68E-13	1.9391572	up
S100PBP	7.61E-20	1.9393042	up
SEMA4C	1.90E-14	1.9395515	up
RAB7B	4.70E-13	1.9406326	up
MAP3K10	3.50E-22	1.9417368	up
LMF2	2.87E-27	1.9424336	up
GSG2	4.56E-11	1.9426566	up
CDC45	6.32E-13	1.9431492	up
RUNX1T1	2.73E-09	1.9450879	up
TELO2	2.02E-18	1.9452087	up
BCL2L2-PABPN1	7.50E-05	1.945704	up
ADCY7	1.01E-08	1.9457939	up
MYOCD	4.89E-07	1.9461569	up
PLA2G6	6.12E-12	1.9479434	up
GATA3	2.42E-10	1.9487181	up
EGFL8	1.74E-11	1.9489703	up
STK10	1.12E-16	1.9489797	up
CDC7	1.98E-13	1.9490298	up
MYO9B	1.35E-18	1.9498962	up
RHOBTB1	1.83E-14	1.950303	up
LTBP3	2.20E-14	1.9505371	up
RUFY3	1.69E-17	1.9509892	up
NEXN	1.24E-10	1.9515177	up
GEN1	2.40E-11	1.9523807	up
TGIF2	4.27E-17	1.9532571	up
DPH7	5.95E-32	1.953603	up
NPHP3-ACAD11	1.03E-04	1.9551665	up
DEF8	1.10E-22	1.9567522	up
AKAP8L	3.50E-21	1.956906	up
STON1	2.32E-09	1.9573019	up
ZNF382	3.81E-08	1.9575605	up
PLEKHH3	8.10E-22	1.9586085	up
TEAD4	2.38E-13	1.9586362	up
TBXA2R	1.92E-13	1.9596783	up
HSP90B1	1.08E-18	1.962247	up
LHX6	7.71E-09	1.9632256	up
SLC35B4	4.98E-15	1.9633278	up
KLRG1	1.04E-10	1.9633564	up
PRELID3A	2.18E-14	1.9636562	up
PHF1	1.22E-26	1.9636908	up
ZNF251	2.59E-20	1.9641521	up
ZCCHC24	1.19E-13	1.9643104	up
PRUNE2	2.75E-09	1.9655386	up
CD244	2.08E-11	1.965561	up
RUSC2	2.22E-15	1.9662106	up
LUC7L	2.27E-26	1.9666485	up
TAL1	1.35E-08	1.967909	up
C15orf62	1.74E-13	1.968135	up
LMO2	3.04E-19	1.9686013	up
KIF19	1.02E-09	1.9686248	up
LSP1	8.67E-17	1.9697114	up
ADAT2	6.56E-13	1.97037	up
MSL3	5.34E-20	1.9736489	up
HDAC10	1.50E-19	1.9748467	up
FBF1	1.97E-16	1.9748918	up
EBLN2	3.73E-06	1.9772335	up
CTC1	4.72E-16	1.9777197	up
ZNF449	1.07E-17	1.9790246	up
MYBL1	1.50E-07	1.9790522	up
GPR174	2.67E-05	1.979241	up
PLD4	2.65E-05	1.9800881	up
ASPM	9.06E-13	1.9803598	up
GOLGA6L10	2.43E-04	1.9826515	up
KHDC1	1.03E-17	1.983146	up
FAM118A	4.69E-05	1.9838518	up
MFSD12	7.79E-24	1.9847838	up
TMEM198	6.84E-24	1.9857588	up
LRRC4	2.50E-05	1.9859883	up
FAM72A	6.77E-16	1.987156	up
KLRK1	2.18E-09	1.9878854	up
AMY2B	1.31E-10	1.9891341	up
ADPRH	1.47E-16	1.9902157	up
PTBP2	9.86E-19	1.9908934	up
UBE2E2	5.04E-15	1.9914606	up
FCHO1	2.24E-11	1.9915981	up
FCMR	5.82E-05	1.9923655	up
DYNC2H1	1.84E-15	1.9927374	up
FAM111A	1.06E-19	1.9932722	up
ZNF83	2.21E-15	1.9938178	up
WNT4	1.44E-09	1.9947517	up
TTYH2	1.69E-12	1.9956656	up
FAM156A	6.93E-12	1.9967368	up
METTL22	1.51E-25	1.9967939	up
UPK3BL	3.71E-08	1.9976933	up
ARHGAP22	5.72E-14	1.9977725	up
POLQ	6.51E-11	1.9980837	up
HELZ2	5.47E-10	1.999534	up
DDIAS	1.54E-12	1.999652	up
CLK4	1.07E-18	2.0014744	up
TMEM136	2.46E-18	2.0020463	up
CLECL1	1.03E-06	2.0032063	up
MAN2A2	6.79E-14	2.003249	up
FOXL1	7.34E-12	2.0032568	up
RP11-111M22.2	8.88E-11	2.003609	up
RILPL1	1.47E-19	2.0036566	up
CDH24	5.80E-15	2.0047545	up
SYNGR1	1.26E-12	2.00582	up
HBA2	1.67E-04	2.0058248	up
CD3E	4.51E-10	2.0107045	up
SPESP1	5.18E-04	2.013083	up
ANKZF1	3.32E-22	2.0130978	up
CD7	2.76E-11	2.013582	up
LRRC70	1.32E-09	2.0142906	up
ORC6	2.75E-20	2.0160918	up
ARFGAP1	1.52E-23	2.0169938	up
CD1E	1.72E-04	2.0188878	up
ZNF385A	1.53E-18	2.0193038	up
CLK2	6.58E-24	2.0195942	up
PPOX	7.04E-26	2.0201695	up
MICU3	2.65E-07	2.0204234	up
TPST2	1.17E-28	2.0211177	up
TSPAN4	6.01E-23	2.0213163	up
HOMER3	4.37E-22	2.0219765	up
IGF2	6.05E-08	2.0224776	up
NIPSNAP3B	1.18E-13	2.0235386	up
EML6	8.71E-09	2.024208	up
CALHM2	1.45E-17	2.0242891	up
C20orf194	3.74E-14	2.0251417	up
JCHAIN	6.15E-12	2.025443	up
IL12RB2	2.09E-06	2.026143	up
UVSSA	2.08E-10	2.028128	up
APIP	3.21E-12	2.0292668	up
DNAH1	1.58E-14	2.029296	up
C1orf186	9.03E-13	2.0294008	up
ALS2CL	1.54E-16	2.0294912	up
RNF112	2.51E-09	2.029786	up
RP1-4G17.5	9.20E-07	2.032047	up
BNC2	2.27E-09	2.032206	up
SIPA1	4.41E-14	2.032628	up
DENND6B	1.72E-22	2.0332103	up
ATP8B4	1.77E-18	2.0335567	up
B9D1	1.75E-30	2.0335724	up
PRR4	1.62E-17	2.0356443	up
SERPINA5	4.31E-04	2.037367	up
RAD54L	1.39E-14	2.037536	up
CRLF1	2.35E-13	2.0382404	up
MST1R	5.71E-14	2.040398	up
GBGT1	1.88E-19	2.040971	up
TRIB3	1.31E-09	2.0421414	up
LIME1	5.67E-21	2.042623	up
EVC	5.65E-08	2.0434563	up
MRVI1	5.48E-12	2.0466156	up
ITGB7	8.68E-14	2.0469294	up
TCTE3	1.10E-20	2.0473747	up
AC017081.1	2.02E-04	2.0481281	up
GALNT16	7.72E-09	2.048354	up
POLG2	1.21E-18	2.0484185	up
ANO8	9.52E-14	2.0493088	up
FAM72C	2.03E-04	2.0501924	up
IPCEF1	9.81E-09	2.0515609	up
LRRC4B	8.32E-10	2.0519724	up
TMEM206	1.06E-17	2.054455	up
AGBL3	2.39E-13	2.054497	up
TMEM120B	9.19E-30	2.0565026	up
EPOR	4.08E-20	2.05678	up
CEACAM6	9.64E-11	2.05691	up
GNGT2	1.11E-15	2.0576432	up
PARP6	3.06E-30	2.0579505	up
FAM13C	1.50E-09	2.0583618	up
EPB41L2	3.67E-15	2.0585868	up
TNFSF11	1.43E-05	2.0591667	up
CAPRIN2	2.93E-20	2.0597842	up
ELN	6.70E-11	2.0598366	up
CCDC71L	4.13E-11	2.0599618	up
TTC7B	1.45E-18	2.061258	up
HAUS5	9.19E-22	2.0640335	up
SH3D21	4.84E-09	2.0643916	up
VPS13C	2.55E-22	2.0655186	up
RP11-347C12.3	7.33E-10	2.065701	up
MAFF	1.77E-11	2.0660486	up
NPHP4	2.89E-18	2.0662463	up
GDF11	3.33E-16	2.0663066	up
HVCN1	3.14E-08	2.0685184	up
GATS	1.47E-13	2.0701084	up
TNFRSF13B	1.22E-06	2.0729532	up
CPSF1	2.32E-17	2.0742326	up
ASNS	7.52E-17	2.0756793	up
SH3BP2	2.54E-22	2.0768642	up
DTNB	1.10E-23	2.077032	up
SNN	2.11E-14	2.077331	up
ANGPTL6	1.62E-09	2.0773644	up
IRF5	5.56E-20	2.0778453	up
CLHC1	9.00E-11	2.0779052	up
TMSB15A	2.81E-09	2.078733	up
PNKP	1.02E-27	2.0790813	up
CUL9	3.59E-22	2.0791662	up
AMPD1	1.18E-11	2.080643	up
PSG4	2.64E-10	2.0813324	up
BZRAP1	1.09E-11	2.084919	up
GNB5	1.62E-20	2.085285	up
RP11-691N7.6	4.51E-04	2.085451	up
ANKRD13B	2.18E-17	2.0858338	up
RP11-11N7.5	1.00E-06	2.086124	up
OLFM2	1.47E-11	2.0892665	up
ARHGEF10	1.33E-14	2.089763	up
TRIM58	3.43E-05	2.089809	up
C9orf3	2.24E-31	2.0913062	up
NCR3	7.32E-06	2.0914237	up
CROCC	2.32E-13	2.0940728	up
NAT6	2.00E-33	2.0955095	up
TICRR	2.87E-11	2.0959482	up
PLA2G16	3.10E-12	2.0965164	up
HLA-F	4.39E-15	2.096615	up
TPO	1.20E-04	2.0989938	up
ARHGEF25	2.89E-17	2.1000805	up
KDELC1	7.84E-25	2.100362	up
ALOX15B	6.87E-06	2.1010096	up
CX3CL1	1.61E-10	2.1013436	up
CCM2L	1.38E-16	2.1013637	up
SPNS3	4.23E-13	2.1031947	up
POLR2J2	2.55E-08	2.10621	up
ZNF781	5.29E-11	2.1067104	up
ADRA2A	2.32E-14	2.1074443	up
ZNF333	9.19E-20	2.1099083	up
TRIM15	2.67E-09	2.110212	up
CACNA1H	4.22E-12	2.1130729	up
CERKL	6.44E-20	2.114059	up
FBLN1	4.55E-14	2.1211045	up
ANKRD10	2.19E-11	2.1226048	up
MYCBPAP	2.38E-09	2.1234305	up
ARHGAP6	9.04E-17	2.1235065	up
GTSE1	1.21E-14	2.1236584	up
C17orf62	2.60E-27	2.124148	up
TRMT2A	3.48E-32	2.1244574	up
LIMS3	2.73E-04	2.1249819	up
ENTHD2	1.07E-24	2.1255386	up
NPIPB5	2.31E-10	2.1270814	up
PIM3	3.96E-19	2.1272519	up
ACKR3	4.90E-10	2.127358	up
ACOXL	5.78E-16	2.1275632	up
NUMBL	1.00E-18	2.1283107	up
EFCAB13	5.81E-11	2.1297853	up
CXCR3	1.91E-15	2.131146	up
MDM4	9.70E-16	2.131283	up
BTAF1	2.36E-13	2.1313674	up
RASA4	4.67E-18	2.1317782	up
SYNDIG1	1.33E-14	2.1319215	up
FASLG	2.14E-09	2.1327858	up
CCL8	3.25E-04	2.1339812	up
E2F7	1.24E-09	2.134039	up
C1orf54	2.82E-24	2.1356535	up
UAP1L1	1.34E-22	2.136175	up
SIGLEC1	3.57E-10	2.1376042	up
LRRC7	2.69E-07	2.138287	up
GAPT	9.28E-07	2.138501	up
GOLGA8N	8.47E-12	2.1386337	up
ADGRA2	3.81E-11	2.138985	up
KLHL3	1.02E-13	2.1402953	up
MAP3K7CL	1.91E-15	2.1452248	up
ZBTB46	1.30E-19	2.1492252	up
RAB33A	4.49E-09	2.150799	up
ARPC4-TTLL3	1.35E-13	2.1511388	up
CCDC102A	8.85E-18	2.152262	up
GPR18	1.23E-05	2.1534994	up
AD000671.6	5.11E-15	2.153649	up
LETM2	5.57E-17	2.1542418	up
WDFY2	2.04E-15	2.1592607	up
C16orf54	4.81E-14	2.1600459	up
HNRNPH1	5.87E-22	2.1603863	up
DNM3	9.79E-13	2.1618454	up
TYRP1	6.08E-04	2.1631336	up
BICD1	7.25E-16	2.1637514	up
FAM219A	1.33E-23	2.1649702	up
CITED4	2.78E-17	2.1685467	up
LARP6	2.85E-13	2.1686046	up
SPTBN2	7.42E-15	2.1687093	up
MEGF6	1.68E-09	2.169095	up
AL365202.1	1.75E-05	2.1759903	up
GOLGA6L9	1.22E-14	2.1777782	up
KIF21B	1.48E-14	2.1818814	up
SRRM3	1.43E-19	2.1841292	up
C2orf74	9.39E-15	2.185086	up
RAB24	9.13E-32	2.1856477	up
RECQL4	2.72E-21	2.1878312	up
CCR5	3.85E-13	2.1888483	up
DNAH11	2.33E-07	2.1890278	up
FAM71F2	3.53E-13	2.1897523	up
CEP164	1.71E-21	2.1899276	up
ANOS1	7.06E-10	2.1903386	up
UBXN11	1.76E-30	2.1905453	up
A1BG	1.21E-15	2.1906168	up
ALDH1A3	2.24E-16	2.1923108	up
HEXDC	2.78E-26	2.1934094	up
CCDC74A	3.25E-21	2.1944468	up
OBSCN	3.57E-12	2.1960409	up
VAMP5	1.35E-19	2.1967509	up
TICAM2	9.24E-19	2.197549	up
ABCA6	7.00E-14	2.1975758	up
TIAF1	9.39E-17	2.1983418	up
COL9A2	8.73E-15	2.2001543	up
MAP9	9.84E-11	2.2002923	up
EME1	2.09E-18	2.2016735	up
TRIM69	6.39E-19	2.2064922	up
ATP10A	5.35E-14	2.2065547	up
TRIM66	3.50E-13	2.2096684	up
CLCN4	1.22E-10	2.209993	up
CCDC84	4.33E-27	2.2133594	up
WDR91	7.88E-20	2.2140677	up
NPIPB4	3.06E-10	2.2146766	up
CD83	8.34E-08	2.214929	up
SGSM2	6.77E-27	2.2151556	up
PKMYT1	7.18E-18	2.2166393	up
ARL10	1.23E-08	2.2167819	up
SFI1	4.01E-17	2.2173612	up
ABLIM3	6.87E-21	2.2179675	up
POU6F1	1.35E-16	2.2180421	up
SEPT6	2.47E-13	2.2209835	up
FBXO10	2.91E-18	2.2221045	up
FBXO17	2.66E-21	2.2250414	up
SSC5D	5.44E-08	2.2254834	up
IMPDH1	7.49E-30	2.2263227	up
SLC4A8	4.23E-11	2.2266264	up
GDNF	1.38E-09	2.228895	up
ZNF512B	7.39E-18	2.229	up
MSH5	3.75E-18	2.229503	up
TAZ	3.72E-34	2.2320583	up
AXDND1	1.94E-04	2.2320893	up
AKAP17A	1.39E-29	2.233533	up
DISC1	2.42E-16	2.2360315	up
MXD3	1.05E-28	2.236323	up
SYNGAP1	1.15E-09	2.2379625	up
DNMT1	6.89E-25	2.238603	up
CCDC17	1.15E-13	2.2394168	up
LCK	1.26E-12	2.2431767	up
WDR62	4.97E-21	2.246544	up
RP4-583P15.15	1.86E-20	2.246654	up
PARP10	1.08E-26	2.2477186	up
SLC47A1	5.83E-19	2.2486582	up
SLC25A29	1.59E-21	2.249984	up
S1PR2	4.72E-19	2.2542353	up
SNAI3	4.05E-19	2.25689	up
BMP7	8.69E-12	2.2575765	up
IQCD	2.52E-19	2.2609336	up
PPP1R32	1.28E-17	2.2624068	up
C5orf45	8.51E-24	2.2632155	up
RGS14	1.57E-24	2.2632763	up
DPP7	5.82E-28	2.2658732	up
HAVCR2	1.87E-18	2.2688951	up
THBS3	3.25E-25	2.2709327	up
LRRC6	2.55E-17	2.2718823	up
PARVB	1.36E-23	2.2720177	up
TMOD4	7.86E-08	2.2720313	up
GLI2	2.15E-08	2.2722316	up
NLRP2	4.12E-06	2.2737706	up
CENPJ	1.97E-20	2.2741225	up
SH3TC1	2.13E-16	2.2746496	up
FCRL6	5.87E-09	2.2764351	up
PLPPR2	2.09E-25	2.277418	up
KIAA1462	6.84E-12	2.2779338	up
FADS3	5.76E-15	2.2807307	up
PIEZO1	2.24E-27	2.2839363	up
GLDC	3.45E-09	2.2842767	up
CLK1	1.05E-29	2.2851105	up
C16orf45	1.52E-20	2.2858925	up
CD33	3.33E-21	2.2861032	up
CSF1	9.99E-18	2.2865891	up
CDK5RAP3	7.12E-36	2.2870996	up
TMC6	4.38E-26	2.287204	up
ATP2A1	4.90E-07	2.2889395	up
CLIP3	4.57E-14	2.290256	up
PLN	1.70E-10	2.2920837	up
LZTR1	1.03E-27	2.294535	up
OPN1SW	3.36E-16	2.2949493	up
CFAP44	2.61E-15	2.2953217	up
PPM1M	7.26E-25	2.2962391	up
EML3	1.74E-27	2.2967978	up
AGAP4	2.45E-18	2.2968252	up
SLC25A45	5.91E-28	2.298125	up
CTRL	9.48E-13	2.2982388	up
AJUBA	1.53E-14	2.2983723	up
PDE6G	3.25E-11	2.2985344	up
PINLYP	5.30E-20	2.2990923	up
VIPR2	6.29E-11	2.3006556	up
RECQL5	2.34E-13	2.302852	up
SHISA4	7.06E-21	2.3029754	up
TMEM121	1.51E-14	2.3083057	up
SV2A	4.44E-14	2.3091223	up
MICAL1	4.02E-28	2.3097968	up
DEF6	2.33E-21	2.3098555	up
PLA2G4C	5.54E-15	2.3140235	up
TRPC6	5.27E-14	2.3144634	up
CD247	2.19E-14	2.3156033	up
GPRIN1	9.41E-11	2.3158739	up
NPIPB3	1.56E-15	2.3184905	up
HMCN2	3.67E-09	2.3193774	up
GIMAP5	3.28E-19	2.3202662	up
TMPRSS13	1.82E-14	2.3219156	up
MS4A4E	1.70E-10	2.3226452	up
SPDYE2	4.16E-06	2.3229938	up
CACNA1C	1.72E-09	2.3239222	up
CCDC180	3.19E-13	2.3253937	up
C1orf95	3.90E-06	2.3264306	up
TMEM26	8.63E-15	2.3267431	up
PAQR6	2.10E-17	2.3276324	up
RP11-426L16.10	3.70E-11	2.3293002	up
CLDN11	3.43E-15	2.3298507	up
ARID3A	2.48E-17	2.330684	up
SIGLEC14	5.86E-04	2.3317292	up
ASGR1	2.74E-18	2.3344412	up
GLIS2	2.72E-17	2.3352666	up
MICALL2	7.95E-22	2.3382683	up
SLC16A2	1.99E-14	2.3393545	up
CDR2L	1.66E-18	2.3408563	up
TMEM256-PLSCR3	4.42E-28	2.341033	up
TNFAIP8L2	1.64E-20	2.3411305	up
BTNL9	6.78E-10	2.3425221	up
C17orf107	2.70E-17	2.3432543	up
PTPN22	2.99E-21	2.3440123	up
TRAF5	8.73E-22	2.347197	up
LINGO3	1.01E-06	2.3483653	up
LAT2	5.37E-15	2.3518772	up
ERVW-1	6.58E-14	2.352857	up
HPN	1.43E-04	2.3566484	up
P2RX7	5.34E-16	2.3584712	up
NPR2	8.53E-27	2.3592598	up
CCDC150	1.33E-16	2.3603392	up
TROAP	2.39E-20	2.360974	up
XCR1	9.82E-09	2.3614345	up
TMEM91	1.11E-22	2.3630016	up
DMTF1	2.33E-20	2.3657384	up
XXbac-BPG32J3.22	5.08E-06	2.3658988	up
RENBP	3.10E-29	2.3675706	up
CLASRP	1.17E-30	2.3699174	up
EFS	1.56E-23	2.3714094	up
HYAL1	7.07E-11	2.3717847	up
TBX3	6.42E-16	2.3719835	up
CLEC11A	1.19E-22	2.3730917	up
APBB3	1.84E-25	2.3731802	up
FAM162B	5.83E-14	2.3777635	up
COQ10A	2.00E-33	2.3787706	up
TRPM2	2.44E-20	2.3805208	up
DHX58	3.29E-31	2.3812425	up
PTHLH	2.03E-05	2.3827946	up
FBN2	2.65E-10	2.3831074	up
SEC16B	4.82E-18	2.3842702	up
PPM1N	2.73E-16	2.3850663	up
SGK494	1.15E-10	2.385505	up
S100A2	3.50E-07	2.3858702	up
PRSS21	5.94E-05	2.3877034	up
AMPD2	1.81E-29	2.3881245	up
NPHP3	9.93E-17	2.3891199	up
IL34	6.77E-21	2.3892071	up
KLK11	7.59E-09	2.391685	up
FAM110D	2.11E-17	2.394872	up
SLC6A16	2.28E-10	2.3953698	up
DDX11	7.85E-21	2.3984923	up
ZHX1-C8orf76	3.37E-13	2.3988013	up
C9orf116	3.10E-20	2.4002528	up
ANKRD36B	1.28E-15	2.401206	up
RGL2	3.12E-30	2.4020183	up
MRGPRF	4.56E-14	2.402614	up
ZNF354B	9.90E-25	2.4028325	up
CLCF1	2.02E-21	2.4043438	up
NFATC1	2.79E-12	2.4054596	up
TMEM86B	1.51E-24	2.410235	up
FCER2	9.99E-04	2.4108176	up
ZGRF1	3.90E-22	2.4166646	up
RASL12	2.35E-19	2.4173188	up
SCX	2.54E-15	2.4186258	up
CBS	4.08E-06	2.4190848	up
NBPF15	1.04E-21	2.4192202	up
STAC3	5.13E-32	2.4213939	up
KIF18B	1.32E-16	2.4234731	up
SYCP2	3.71E-12	2.4241745	up
ARHGEF1	8.08E-21	2.424401	up
SARDH	2.44E-13	2.4255166	up
NLRC3	1.78E-12	2.4268827	up
CTB-133G6.1	6.45E-06	2.4306526	up
RUNX3	9.41E-16	2.4319592	up
SPECC1L-ADORA2A	4.36E-15	2.434582	up
LOXL4	1.28E-18	2.435497	up
L3MBTL1	1.78E-16	2.437906	up
APBA2	1.12E-11	2.4380925	up
NRBP2	2.89E-22	2.4389963	up
FNBP4	3.75E-20	2.4391127	up
EPS8L1	5.23E-17	2.439333	up
LTB	4.14E-08	2.4393897	up
VEGFA	7.52E-19	2.439462	up
EFCC1	5.73E-19	2.439999	up
IL18BP	6.21E-20	2.440891	up
ITGA1	8.20E-11	2.440969	up
PLEKHF1	1.40E-25	2.4418466	up
UBASH3A	1.51E-14	2.4460292	up
LYL1	7.37E-13	2.447829	up
IL16	3.21E-13	2.4492786	up
NKG7	6.21E-13	2.4497938	up
SUGP2	3.60E-34	2.4500072	up
CEACAM3	2.06E-14	2.450605	up
ECM2	1.14E-11	2.4510996	up
FAM92A1	2.97E-29	2.4534342	up
NHSL2	2.66E-13	2.4546926	up
AICDA	6.02E-04	2.4557695	up
DUSP14	6.09E-19	2.4572494	up
TIA1	2.29E-17	2.4580758	up
TUBB6	8.81E-21	2.4597318	up
CSF1R	6.62E-21	2.4613798	up
SALL1	3.59E-16	2.4623985	up
RBM6	3.22E-33	2.4625359	up
SEMA6C	6.66E-20	2.4638271	up
P3H3	3.85E-26	2.4647152	up
RSRP1	5.65E-28	2.4652896	up
CCNL1	1.20E-29	2.4656565	up
NEIL1	2.31E-21	2.466966	up
ARHGAP11B	3.74E-19	2.468291	up
BLK	1.54E-05	2.4684067	up
CES4A	3.71E-27	2.4686313	up
ABCA9	4.53E-12	2.4719725	up
ZNF366	2.59E-10	2.4725285	up
NUDT17	6.29E-23	2.4762332	up
UNKL	3.61E-17	2.4777763	up
HOXB4	1.16E-26	2.4818468	up
GNRH1	2.24E-18	2.4837701	up
PIP5KL1	9.70E-16	2.4840088	up
CSRP2	2.93E-16	2.4841444	up
B3GNT9	2.10E-27	2.484648	up
USP35	5.28E-28	2.485182	up
CABYR	3.91E-11	2.4855514	up
GDPD5	5.69E-19	2.48821	up
CCDC163P	2.76E-19	2.4889996	up
GLI1	3.69E-17	2.4893472	up
RASAL1	7.09E-23	2.4900093	up
CHTF18	7.89E-23	2.4907506	up
GRAMD1B	1.30E-12	2.4926674	up
PDGFB	1.30E-14	2.4927032	up
HLX	2.56E-22	2.4944382	up
TMEM200B	3.08E-22	2.4959037	up
MC1R	1.84E-19	2.4974246	up
NAIP	8.51E-25	2.4974334	up
DPEP1	9.12E-06	2.5001009	up
FANCA	2.18E-30	2.5013492	up
RGS18	3.23E-19	2.5020576	up
NLRC4	6.27E-16	2.504507	up
IQGAP3	8.01E-14	2.5045547	up
SMARCD3	4.07E-33	2.5059097	up
PASK	1.86E-16	2.507095	up
RP11-347C12.1	2.94E-09	2.5077784	up
NCKAP5L	1.26E-25	2.5097907	up
SP140L	5.60E-24	2.5111444	up
SCARA3	2.45E-17	2.5111926	up
C10orf128	4.93E-30	2.5145617	up
C5orf56	1.05E-32	2.5168147	up
PHACTR1	2.21E-13	2.517873	up
RNF215	2.59E-34	2.5179787	up
ETV4	3.01E-12	2.5200481	up
FZD2	1.72E-20	2.5238018	up
FOXF1	4.83E-24	2.5245872	up
AC002398.9	5.34E-14	2.524943	up
MEIS3	1.64E-29	2.5261064	up
HEYL	1.84E-16	2.5269582	up
CCDC65	2.66E-16	2.5294974	up
PDLIM4	1.20E-17	2.5296788	up
PPT2-EGFL8	3.84E-12	2.530424	up
CNTNAP3B	1.10E-12	2.5313063	up
AMPH	1.84E-14	2.531438	up
DZIP1	1.81E-23	2.537224	up
ARGLU1	8.49E-30	2.5375226	up
GPR68	3.38E-21	2.5376112	up
PNISR	1.89E-28	2.537852	up
PODN	1.98E-15	2.5386987	up
GPSM3	1.08E-21	2.5389473	up
RGL3	2.93E-12	2.5389502	up
EVA1B	4.50E-30	2.5411363	up
F2RL3	5.38E-13	2.5433066	up
NEB	5.50E-16	2.5443122	up
TMEM88	2.41E-25	2.5465937	up
HMSD	8.83E-07	2.5479617	up
AFAP1L1	4.39E-17	2.5498674	up
HIC1	3.60E-24	2.5507157	up
MAN2C1	6.16E-27	2.5528185	up
CAPN3	7.05E-21	2.5559604	up
LAYN	6.12E-27	2.5586078	up
DPEP2	2.81E-20	2.5597303	up
CAPN12	3.43E-12	2.5617747	up
TIFAB	2.87E-14	2.5648887	up
AURKC	2.43E-15	2.568894	up
UBTD1	4.10E-23	2.569563	up
STMN3	2.15E-26	2.5697744	up
RARB	2.17E-17	2.573011	up
ARHGAP28	3.60E-16	2.573425	up
DENND4B	1.77E-23	2.5738318	up
SLFN12	3.29E-21	2.5749843	up
AGAP2	2.83E-16	2.575376	up
TRIM7	3.02E-08	2.5755022	up
MICB	1.31E-23	2.5770152	up
IL9R	4.39E-06	2.5786562	up
PROCA1	1.41E-21	2.5800948	up
DUSP2	1.61E-10	2.5809712	up
CRMP1	1.41E-18	2.5816073	up
CPNE5	5.10E-20	2.581703	up
STARD9	9.11E-18	2.582142	up
LOXL3	1.08E-26	2.5824237	up
FAM193B	3.19E-32	2.5830812	up
WDR19	1.22E-32	2.5853825	up
ZMAT1	1.43E-14	2.588108	up
TAF1C	2.06E-28	2.5887327	up
PSTPIP1	2.85E-19	2.5903373	up
CENPT	4.11E-38	2.5948446	up
C6orf141	7.78E-13	2.5983248	up
SCARF1	7.42E-22	2.5996332	up
PDE1C	1.12E-15	2.605202	up
HBA1	2.98E-05	2.6054282	up
ROBO3	7.51E-17	2.6079302	up
RAB38	1.76E-16	2.6080284	up
RFPL3S	6.33E-12	2.6102614	up
RAB39B	1.34E-16	2.6104825	up
GYLTL1B	5.88E-21	2.6105473	up
ANXA2R	1.11E-15	2.6111917	up
NFKBID	3.02E-26	2.6116362	up
FES	9.31E-29	2.6150975	up
FLRT2	2.87E-11	2.6153917	up
ATAD3B	1.15E-25	2.61642	up
DYX1C1	1.61E-22	2.6170774	up
ADM2	8.13E-23	2.6171105	up
FBXO41	4.53E-18	2.6179006	up
EPHX3	4.36E-16	2.626624	up
CTC-479C5.12	5.50E-28	2.6270912	up
TNNI2	2.85E-16	2.627524	up
BHMT2	1.77E-11	2.6299667	up
PRCD	2.32E-22	2.6333342	up
RIMKLB	8.05E-27	2.633681	up
SMO	1.33E-21	2.634558	up
CCDC40	2.45E-18	2.635823	up
PHKG1	2.01E-16	2.6358652	up
WTIP	2.32E-22	2.636148	up
MAGED4	6.85E-20	2.639384	up
JMJD7-PLA2G4B	4.79E-28	2.6444714	up
C1orf216	1.26E-30	2.6484866	up
DUOX1	2.69E-16	2.649218	up
USHBP1	7.32E-24	2.6506283	up
EHBP1L1	3.47E-28	2.6534562	up
TXNDC5	1.03E-28	2.65518	up
AGAP5	6.34E-22	2.65712	up
ZGLP1	1.99E-21	2.66019	up
